代號,名稱,產業,族群,分數,5日漲幅,RSI,成交量,成交值,收盤價,風險
2330,台積電,晶圓代工,CoWoS|晶圓代工,20,2.91,50.56,41003818,94103762310,2295.0,低
2329,華泰,其他,其他,20,13.23,50.48,46129400,2763151130,59.9,低
6994,富威電力,其他,其他,20,15.36,44.85,982326,60511280,61.6,低
1623,大東電,其他,其他,20,10.81,50.0,871556,214402776,246.0,低
8109,博大,其他,其他,20,-1.18,60.32,720680,90805680,126.0,低
8107,大億金茂,其他,其他,20,6.03,54.55,553922,6813240,12.3,低
6257,矽格,其他,其他,20,5.77,63.85,12595668,2884407972,229.0,低
6244,茂迪,其他,其他,20,6.17,52.2,15407092,463753475,30.1,低
5011,久陽,其他,其他,20,14.92,71.6,1128949,20433977,18.1,中
8016,矽創,其他,其他,20,0.84,62.62,3263057,978917100,300.0,低
3551,世禾,其他,其他,20,10.41,55.73,6297832,1369778460,217.5,低
1618,合機,其他,其他,20,5.64,64.08,2020345,83238215,41.2,低
1587,吉茂,其他,其他,20,13.43,48.48,1815046,58262973,32.1,低
1582,信錦,其他,其他,20,-3.4,71.17,21244647,2411267434,113.5,中
1570,力肯,其他,其他,20,32.07,85.58,1013075,52983821,52.3,高
2379,瑞昱,IC設計,其他,20,3.3,50.53,4272875,2538087750,594.0,低
6494,九齊,其他,其他,20,5.17,56.78,1070461,63157199,59.0,低
6491,晶碩,其他,其他,20,3.91,79.03,495728,158137232,319.0,高
2327,國巨*,被動元件,被動元件,20,29.72,90.67,24896471,18473181482,742.0,高
2324,仁寶,其他,其他,20,10.38,62.38,146521274,4908462679,33.5,低
2353,宏碁,其他,其他,20,12.68,71.43,77514082,2480450624,32.0,中
2351,順德,其他,其他,20,14.58,68.32,8239315,1812649300,220.0,中
3259,鑫創,其他,其他,20,5.66,42.39,111240,1868831,16.8,低
3232,昱捷,其他,其他,20,2.69,66.94,335747,7688606,22.9,中
3226,龍鋒,其他,其他,20,6.25,59.6,12531,532567,42.5,低
3211,順達,其他,其他,20,25.35,62.6,14990813,6633434752,442.5,低
3207,耀勝,其他,其他,20,12.85,61.7,899431,58463015,65.0,低
3537,堡達,其他,其他,20,16.38,76.67,4158264,307295715,73.9,高
8042,金山電,其他,其他,20,21.2,86.16,1075675,162964762,151.5,高
8043,蜜望實,其他,其他,20,2.39,71.06,31388622,4033437927,128.5,中
8044,網家,其他,其他,20,0.17,69.97,1914426,55231190,28.85,中
8084,巨虹,其他,其他,20,7.54,56.58,150939,6996022,46.35,低
6266,泰詠,其他,其他,20,4.07,52.13,1003974,28261867,28.15,低
2478,大毅,被動元件,被動元件,20,9.48,86.88,5894189,748562003,127.0,高
2472,立隆電,其他,其他,20,39.47,86.55,9316706,3456497926,371.0,高
8039,台虹,其他,其他,20,10.43,62.5,21111207,3240570274,153.5,低
2464,盟立,其他,其他,20,23.53,70.54,17660065,2966890920,168.0,中
2453,凌群,其他,其他,20,7.9,68.46,2583054,155241541,60.1,中
1533,車王電,其他,其他,20,1.88,82.3,1406134,57089038,40.6,高
1529,樂事綠能,其他,其他,20,6.02,42.74,1752121,38546662,22.0,低
6417,韋僑,其他,其他,20,12.31,57.02,470552,68700592,146.0,低
2409,友達,面板,其他,20,4.95,61.92,537010638,11384625935,21.2,低
6449,鈺邦,其他,其他,20,27.12,88.4,441522,165570750,375.0,高
