股票代號,股票名稱,收盤價,MA5,MA20,MA60,成交量,成交值,量MA5,RSI,5日漲幅
2364,倫飛,67.3,68.42,66.85,64.23,223979,15073787,276644,52.78,1.97
2365,昆盈,37.35,38.17,36.69,34.69,6142765,229432263,8674580,54.6,6.26
2367,燿華,67.1,66.96,63.07,68.13,40048888,2687280323,55864347,54.14,4.84
2368,金像電,1375.0,1372.0,1369.25,1123.77,5677144,7806073000,5584545,55.18,11.34
2369,菱生,40.15,34.84,31.67,30.51,90933858,3650994537,42085065,74.13,39.17
2371,大同,29.4,29.51,29.78,31.17,18384900,540516052,20888962,44.82,4.81
2373,震旦行,58.0,57.22,56.74,56.53,144116,8358728,70340,63.16,2.65
2374,佳能,80.8,82.14,80.55,74.35,9623905,777611553,10893344,54.69,2.54
2375,凱美,147.0,135.2,104.77,89.41,33098370,4865460390,25696045,83.97,31.84
2376,技嘉,332.5,328.8,311.25,268.38,9012980,2996815850,12939847,64.51,10.1
2377,微星,126.5,123.3,109.85,98.33,31204574,3947378611,42557210,72.92,15.53
2379,瑞昱,605.0,586.2,561.9,519.74,6036426,3652037730,3892426,64.49,6.7
2380,虹光,5.53,5.78,5.84,5.68,434307,2401717,314937,45.15,-5.47
2382,廣達,312.0,313.8,320.9,307.01,43543190,13585475280,41781000,47.65,7.59
2383,台光電,5305.0,5159.0,4830.75,3667.42,2110806,11197825830,2261598,67.09,20.71
2385,群光,135.5,132.1,129.43,125.49,6092849,825581039,3912892,62.6,5.45
2387,精元,40.35,40.09,39.79,41.3,1016653,41021946,902143,52.23,4.81
2388,威盛,75.9,82.42,78.08,63.31,12909879,979859835,27031883,51.02,-7.1
2390,云辰,10.7,10.51,9.91,10.06,1464488,15670021,1329399,64.95,7.21
2392,正崴,37.6,37.97,37.28,36.65,3195688,120157863,2794634,52.31,5.62
